year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2016,Stirling,0.283106553,0.352451088,,0.343111932,0.318273075,0.304807254,-0.079437817,0.317501685
2016,West Dunbartonshire,0.163048658,0.221197189,,0.201889396,0.17992073,0.173578638,-0.030304925,0.202265751
2016,West Lothian,0.236034464,0.264498796,,0.248482132,0.224226147,0.217899469,-0.033220107,0.200173543
2017,Aberdeen City,0.307313579,0.366416333,,0.346474214,0.286596089,0.325819402,-0.026236705,0.296793543
2017,Aberdeenshire,0.273566758,0.321599481,,0.287420884,0.263564088,0.24240952,-0.184488771,0.292334486
2017,Angus,0.261503283,0.277860141,,0.259600523,0.258990995,0.226095248,-0.033173812,0.269643125
2017,Argyll and Bute,0.191457217,0.169356915,,0.174529983,0.089089975,0.167143371,-0.056600746,0.196071977
2017,Clackmannanshire,0.232750702,0.236905893,,0.230504857,0.190957907,0.131224881,-0.091233224,0.198884671
2017,Dumfries and Galloway,0.183116544,0.228818957,,0.189693314,0.157554278,0.133628711,-0.059693911,0.183866625
2017,Dundee City,0.289227405,0.301548118,,0.329290728,0.310127487,0.218529117,-0.057113701,0.266312894
2017,East Ayrshire,0.246948739,0.28228743,,0.26960834,0.233428935,0.209989168,-0.108391723,0.223100923
2017,East Dunbartonshire,0.281794776,0.337302489,,0.331696178,0.314157315,0.339407241,0.040563249,0.293639935
2017,East Lothian,0.217698519,0.230408535,,0.222352417,0.225864181,0.217800034,-0.005178249,0.193882068
2017,East Renfrewshire,0.378695267,0.418635182,,0.37228998,0.406979618,0.284345474,-0.04095859,0.394110506
2017,"Edinburgh, City of",0.373720931,0.451094741,,0.436212639,0.374363785,0.3795916,0.053454903,0.433011334
2017,Eilean Siar,0.020568509,0.052860391,,0.002463021,-0.001990996,-0.012641914,-0.03567417,0.024725283
2017,Falkirk,0.21846455,0.28090253,,0.255988068,0.251897872,0.200221402,-0.093128548,0.228740697
2017,Fife,0.330454246,0.359324136,,0.311336233,0.29924872,0.265434881,-0.100710246,0.325335781
2017,Glasgow City,0.233431885,0.242331541,,0.270646204,0.209620436,0.229558086,-0.082150333,0.249382748
2017,Highland,0.214924156,0.258800092,,0.255424461,0.165921447,0.206301473,-0.10587955,0.221789375
2017,Inverclyde,0.326068078,0.355541597,,0.352323808,0.2699942,0.268911682,-0.201296627,0.341211735
2017,Midlothian,0.211567612,0.267733754,,0.262295179,0.189157642,0.22495543,-0.12261795,0.225149228
2017,Moray,0.119660462,0.16871723,,0.135177666,0.106969396,0.062722101,-0.027044879,0.118136348
2017,North Ayrshire,0.28793606,0.308397025,,0.288862861,0.271922082,0.258743241,-0.078281861,0.294530648
2017,North Lanarkshire,0.181799879,0.21766066,,0.20954346,0.187737968,0.178508907,-0.042305339,0.188690065
2017,Orkney Islands,0.078108732,0.144889043,,0.065791193,0.065791193,0.097249046,-0.160893235,0.123716051
2017,Perth and Kinross,0.240550455,0.292768981,,0.271273632,0.247376228,0.215420193,-0.034219395,0.237401077
2017,Renfrewshire,0.284352829,0.350867411,,0.334298123,0.339734364,0.29404569,-0.00472157,0.314314575
2017,Scottish Borders,0.214528172,0.22690586,,0.23381471,0.195690024,0.17329541,-0.168393285,0.19385832
2017,Shetland Islands,0.073187835,0.042025573,,-0.001100231,0.09683381,0.071576906,-0.082923945,0.082072321
2017,South Ayrshire,0.268264637,0.315093337,,0.256370708,0.27839264,0.235571535,0.006406123,0.297146342
2017,South Lanarkshire,0.223567742,0.266213821,,0.248453789,0.229097542,0.114790957,-0.079671646,0.235244903
2017,Stirling,0.299404584,0.353582274,,0.352692059,0.330892191,0.327885456,-0.040574266,0.321770212
2017,West Dunbartonshire,0.166318002,0.227932219,,0.21059272,0.164839225,0.17009427,-0.023859332,0.208402699
2017,West Lothian,0.246938734,0.268376385,,0.249249266,0.197598377,0.212960828,-0.032797489,0.219574865
2018,Aberdeen City,0.31364456,0.366912487,,0.340703988,0.342923433,0.331392494,-0.039123394,0.311924631
2018,Aberdeenshire,0.269751178,0.307513065,,0.275756191,0.266942112,0.169205754,-0.185479785,0.293603692
2018,Angus,0.28142714,0.303716241,,0.25763817,0.270198233,0.17666972,-0.06266539,0.266956755
2018,Argyll and Bute,0.221964248,0.144835843,,0.199439252,0.150322241,0.184609656,-0.065505328,0.200002687
2018,Clackmannanshire,0.270788991,0.26780176,,0.254753217,0.212710856,0.140000361,-0.118753994,0.205802344
2018,Dumfries and Galloway,0.180196806,0.231437524,,0.202628655,0.167878088,0.117031368,-0.064491811,0.203639049
2018,Dundee City,0.281799701,0.30823614,,0.336884015,0.253102257,0.227963403,-0.04378846,0.282277757
2018,East Ayrshire,0.261842511,0.301713417,,0.286468339,0.223854012,0.195731654,-0.130006853,0.245755054
2018,East Dunbartonshire,0.273249937,0.363655128,,0.351489074,0.29997361,0.336494212,0.028725791,0.311640946
